"carrera","carrera_siglas","tipo","cohorte","cohorte_anio","linea_formativa","propuesta","ifda_sigla","ifda","prematriculados","inician_curso","aprueban_MI","cursantes_T3"
"Actualización Académica en Educación de Jóvenes y Adultos","ADULTOS_ACT","Trayecto","Junio 2017","2017","Formación de docentes de las modalidades del sistema educativo","Educación de Jóvenes y Adultos","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","1","0","1","1"
"Actualización Académica en Educación de Jóvenes y Adultos","ADULTOS_ACT","Trayecto","Mayo 2019","2019","Formación de docentes de las modalidades del sistema educativo","Educación de Jóvenes y Adultos","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","11","0","11","7"
"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Superior","GESTIONSUP_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","IESSB","Instituto de Enseñanza Superior Simón Bolívar","6","0","6","4"
"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Superior","GESTIONSUP_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","2","0","2","1"
"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Superior","GESTIONSUP_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","10","0","10","6"
"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Superior","GESTIONSUP_ESP","Trayecto","Octubre 2019","2019","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","IESSB","Instituto de Enseñanza Superior Simón Bolívar","3","0","3","2"
"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Abril 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","HOUSSAY","Instituto Superior Dr. Bernardo Houssay","37","27","0","27"
"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Abril 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","82","62","0","62"
"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","URQUIZA","Escuela Normal Superior Justo José de Urquiza","15","12","0","12"
"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","CARENA","Instituto Superior Dr. Carlos María Carena","9","8","0","8"
