"anio","carrera","carrera_siglas","tipo","cohorte","cohorte_anio","linea_formativa","propuesta","ifda_sigla","ifda","prematriculados","inician_curso","aprueban_MI","cursantes_T3"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Naturales en la Educación Primaria","NATURALES_ESP","Trayecto","Junio 2017","2017","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Naturales en la Educación Primaria","ISCAL","Instituto Superior Carlos Alberto Leguizamón","4","0","4","3"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Naturales en la Educación Primaria","NATURALES_ESP","Trayecto","Febrero 2018","2018","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Naturales en la Educación Primaria","ISCAL","Instituto Superior Carlos Alberto Leguizamón","11","0","11","11"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Naturales en la Educación Primaria","NATURALES_ESP","Trayecto","Mayo 2019","2019","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Ciencias Naturales en la Educación Primaria","ISCAL","Instituto Superior Carlos Alberto Leguizamón","13","0","13","13"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","MATEMATICA_ESP","Trayecto","Junio 2017","2017","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","4","0","4","4"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","MATEMATICA_ESP","Trayecto","Junio 2017","2017","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","ISCAL","Instituto Superior Carlos Alberto Leguizamón","16","0","16","14"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","MATEMATICA_ESP","Trayecto","Febrero 2018","2018","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","6","0","6","6"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","MATEMATICA_ESP","Trayecto","Febrero 2018","2018","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","ISCAL","Instituto Superior Carlos Alberto Leguizamón","10","0","10","9"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","MATEMATICA_ESP","Trayecto","Mayo 2019","2019","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Matemática en la Educación Primaria","ISCAL","Instituto Superior Carlos Alberto Leguizamón","25","0","25","25"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","LENGUA_ESP","Trayecto","Junio 2017","2017","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","URQUIZA","Escuela Normal Superior Justo José de Urquiza","2","0","2","2"
"2020","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","LENGUA_ESP","Trayecto","Junio 2017","2017","Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza de Lengua y Literatura en la Educación Primaria","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","4","0","4","3"
